request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,355.74,affordable_with_plan,wait,2024-08-15:1290.30,,reduce_to:event_3710:36.50,EUR 2394 available; protect 1500 minimum. Pay EUR 1290.30 via wait; finish 2024-08-15. Forecast low 1724.92 through 2024-09-04. Apply reduce_to:event_3710:36.50. Evidence: message_29. Next supported income: 1760 on 2024-06-15.
request_41,7644359.41,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,IDR 50175850 available; protect 25366600 minimum. Pay IDR 38760000 via wait; finish 2026-01-15. Forecast low 33010959.41 through 2026-02-01. Next supported income: 42559991.04 on 2025-11-15.
request_42,25475.12,affordable_with_plan,wait,2026-03-15:52100,,reduce_to:event_3956:2695,INR 261765 available; protect 113100 minimum. Pay INR 52100 via wait; finish 2026-03-15. Forecast low 119819.13 through 2026-04-05. Apply reduce_to:event_3956:2695. Evidence: message_30. Next supported income: 91760 on 2026-01-15.
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,IDR 36640750 available; protect 21398000 minimum. Pay IDR 43339000 via wait; finish 2024-11-15. Forecast low 29671626.88 through 2024-12-06. Evidence: message_31. Next supported income: 32870000 on 2024-09-15.
request_44,30429.04,affordable_with_plan,wait,2025-04-15:95800,,reduce_to:event_4113:2020,INR 162290 available; protect 82900 minimum. Pay INR 95800 via wait; finish 2025-04-15. Forecast low 97700.17 through 2025-05-05. Apply reduce_to:event_4113:2020. Evidence: message_32. Next supported income: 115000 on 2025-02-15.
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,IDR 19982900 available; protect 11149800 minimum. Pay IDR 21983000 via wait; finish 2026-09-15. Forecast low 14511578.45 through 2026-10-04. Evidence: message_33. Next supported income: 17290000 on 2026-07-15.
request_46,39354.55,affordable_with_plan,partial_payment,2024-12-03:39354.55|2024-12-15:10095.45,2024-12-15,none,INR 202335 available; protect 84000 minimum. Pay INR 49450 via partial payment; finish 2024-12-15. Forecast low 84000 through 2025-03-03. Next supported income: 145000 on 2024-12-15.
request_47,1221224.85,not_affordable,not_recommended,none,,none,IDR 112924150 available; protect 30049000 minimum. Safe today: 1221224.85. No accepted plan completes the request by 2025-06-19 while preserving the minimum for 90 days. Evidence: message_34.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,INR 188065 available; protect 71300 minimum. Pay INR 45700 via full payment; finish 2026-07-25. Forecast low 87818.22 through 2026-10-23. Evidence: message_35. Next supported income: 81996.72 on 2026-08-15.
request_49,12655596.66,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4569:368600,IDR 40504493.34 available; protect 20275700 minimum. Pay IDR 35706320.01 via installments; finish 2024-05-19. Forecast low 20955768.11 through 2024-06-02. Apply reduce_to:event_4569:368600. Evidence: message_36. Next supported income: 31464000 on 2024-03-15.
request_50,42646.87,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,reduce_to:event_4680:1928,INR 247325.50 available; protect 99700 minimum. Pay INR 43900 via full payment; finish 2025-08-06. Forecast low 107554.36 through 2025-11-04. Apply reduce_to:event_4680:1928. Evidence: message_37. Next supported income: 78120 on 2025-08-15.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,IDR 35347700 available; protect 7811000 minimum. Pay IDR 2191000 via full payment; finish 2026-01-03. Forecast low 11129550.04 through 2026-04-03.
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,INR 75320 available; protect 41500 minimum. Pay INR 28870 via wait; finish 2024-06-15. Forecast low 54946.66 through 2024-09-03. Evidence: message_38. Next supported income: 69000 on 2024-06-15.
request_53,464.04,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,USD 3523.42 available; protect 2100 minimum. Pay USD 1767.18 via installments; finish 2026-01-16. Forecast low 2318.58 through 2026-02-05. Apply reduce_to:event_4992:44.50. Evidence: message_39. Next supported income: 2880 on 2025-11-15.
request_54,3765.48,not_affordable,not_recommended,none,,none,ZAR 53581.40 available; protect 37000 minimum. Safe today: 3765.48. No accepted plan completes the request by 2026-08-21 while preserving the minimum for 90 days. Evidence: message_40. Next supported income: 42460 on 2026-07-15.
request_55,114854.82,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5103:2536|stop:event_5101,"INR 314341.19 available; protect 124300 minimum. Pay INR 227343.99 via installments; finish 2026-08-12. Forecast low 129932.46 through 2026-09-06. Apply reduce_to:event_5103:2536, stop:event_5101. Next supported income: 216000 on 2026-06-15."
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,USD 3432.36 available; protect 2100 minimum. Pay USD 881.56 via partial payment; finish 2025-02-15. Forecast low 2100 through 2025-05-04. Next supported income: 2388 on 2025-02-15.
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,ZAR 63914.60 available; protect 42700 minimum. Pay ZAR 61446 via wait; finish 2026-06-15. Forecast low 55519.59 through 2026-07-04. Next supported income: 50160 on 2026-04-15.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,IDR 42146065 available; protect 14433900 minimum. Pay IDR 16226000 via full payment; finish 2024-12-07. Forecast low 17611743.52 through 2025-03-07. Evidence: message_42. Next supported income: 16020800 on 2024-12-15.
request_59,132758.55,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930,INR 723245.99 available; protect 132600 minimum. Pay INR 146223.99 via installments; finish 2025-07-02. Forecast low 144532.59 through 2025-08-02. Apply reduce_to:event_5537:3930. Evidence: message_43.
request_60,136.86,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,USD 683.69 available; protect 400 minimum. Pay USD 199.89 via wait; finish 2026-01-15. Forecast low 500.78 through 2026-04-06. Evidence: message_44. Next supported income: 530.40 on 2026-01-15.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,ZAR 147470.23 available; protect 36700 minimum. Pay ZAR 30224.49 via installments; finish 2024-05-18. Forecast low 37549.13 through 2024-06-01. Evidence: message_45.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,USD 5151.44 available; protect 1300 minimum. Pay USD 404.23 via full payment; finish 2025-08-05. Forecast low 3444.17 through 2025-11-03. Evidence: message_46. Next supported income: 2112 on 2025-08-15.
request_63,44660.92,not_affordable,not_recommended,none,,none,INR 251795 available; protect 153500 minimum. Safe today: 44660.92. No accepted plan completes the request by 2026-09-17 while preserving the minimum for 90 days. Next supported income: 189992.40 on 2026-07-15.
request_64,0,not_affordable,not_recommended,none,,none,INR 98573.01 available; protect 36100 minimum. Safe today: 0. No accepted plan completes the request by 2024-08-16 while preserving the minimum for 90 days. Next supported income: 54997.80 on 2024-06-15.
request_65,5886.73,not_affordable,not_recommended,none,,none,ZAR 28524 available; protect 15500 minimum. Safe today: 5886.73. No accepted plan completes the request by 2025-11-25 while preserving the minimum for 90 days. Next supported income: 22220 on 2025-11-15.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,INR 302520 available; protect 80700 minimum. Pay INR 22200 via full payment; finish 2026-04-03. Forecast low 222254.85 through 2026-07-02. Evidence: message_49. Next supported income: 116000 on 2026-04-15.
request_67,300.78,affordable_later,wait,2024-11-15:2094,2024-11-15,none,USD 1992.54 available; protect 1200 minimum. Pay USD 2094 via wait; finish 2024-11-15. Forecast low 1500.78 through 2024-12-04. Next supported income: 2047.68 on 2024-09-15.
request_68,1333.62,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,reduce_to:event_6331:24.80,USD 3657.83 available; protect 1500 minimum. Pay USD 2175.27 via installments; finish 2025-04-11. Forecast low 1584.60 through 2025-05-08. Apply reduce_to:event_6331:24.80. Evidence: message_50. Next supported income: 2496 on 2025-02-23.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,EUR 1639.50 available; protect 700 minimum. Pay EUR 529.10 via full payment; finish 2026-01-04. Forecast low 765.05 through 2026-04-04. Evidence: message_51. Next supported income: 1177 on 2026-01-15.
request_70,50476.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,INR 208360 available; protect 115000 minimum. Pay INR 243900 via wait; finish 2025-02-15. Forecast low 162417.32 through 2025-03-06. Evidence: message_52. Next supported income: 203000 on 2024-12-15.
request_71,962727.48,not_affordable,not_recommended,none,,none,IDR 16369850 available; protect 8884800 minimum. Safe today: 962727.48. No accepted plan completes the request by 2025-05-28 while preserving the minimum for 90 days. Evidence: message_53. Next supported income: 11019997.68 on 2025-05-15.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,ZAR 30337.13 available; protect 12200 minimum. Pay ZAR 11330 via full payment; finish 2026-07-05. Forecast low 12429.26 through 2026-10-03. Evidence: message_54. Next supported income: 18700 on 2026-07-15.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,INR 278542.50 available; protect 103200 minimum. Pay INR 71400 via full payment; finish 2023-01-20. Forecast low 113251.96 through 2023-04-20. Evidence: message_55. Next supported income: 132000 on 2023-02-15.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,ZAR 70056.90 available; protect 21900 minimum. Pay ZAR 5010 via full payment; finish 2025-08-04. Forecast low 54067.38 through 2025-11-02. Evidence: message_56. Next supported income: 26180 on 2025-08-15.
request_75,13211.62,not_affordable,not_recommended,none,,none,ZAR 145867.87 available; protect 39000 minimum. Safe today: 13211.62. No accepted plan completes the request by 2026-06-12 while preserving the minimum for 90 days. Evidence: message_57.
request_76,782.36,not_affordable,not_recommended,none,,none,USD 3338.80 available; protect 1800 minimum. Safe today: 782.36. No accepted plan completes the request by 2024-07-30 while preserving the minimum for 90 days. Evidence: message_58. Next supported income: 1843.20 on 2024-06-15.
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,INR 189860.50 available; protect 82200 minimum. Pay INR 60700 via full payment; finish 2025-11-05. Forecast low 82307.73 through 2026-02-03. Apply stop:event_7143. Evidence: message_59. Next supported income: 111000 on 2025-11-15.
request_78,49716.18,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7224:805,INR 156676 available; protect 55200 minimum. Pay INR 50200 via full payment; finish 2025-10-02. Forecast low 55521.18 through 2025-12-31. Apply reduce_to:event_7224:805. Next supported income: 89000 on 2025-10-15.
request_79,367.68,not_affordable,not_recommended,none,,none,EUR 2104.08 available; protect 1000 minimum. Safe today: 367.68. No accepted plan completes the request by 2024-11-01 while preserving the minimum for 90 days. Next supported income: 1313.76 on 2024-09-15.
request_80,0,not_affordable,not_recommended,none,,none,INR 280125 available; protect 121300 minimum. Safe today: 0. No accepted plan completes the request by 2025-02-21 while preserving the minimum for 90 days. Evidence: message_60. Next supported income: 94800 on 2025-02-15.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,USD 5028.25 available; protect 1600 minimum. Pay USD 2076 via full payment; finish 2026-07-03. Forecast low 1661.52 through 2026-10-01. Evidence: message_61. Next supported income: 2808 on 2026-07-15.
request_82,381.75,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,USD 2202.40 available; protect 1100 minimum. Pay USD 1405.20 via wait; finish 2025-02-15. Forecast low 1481.75 through 2025-03-05. Evidence: message_62. Next supported income: 1752 on 2024-12-15.
request_83,7244.95,not_affordable,not_recommended,none,,none,INR 68930 available; protect 37800 minimum. Safe today: 7244.95. No accepted plan completes the request by 2025-06-17 while preserving the minimum for 90 days. Evidence: message_63. Next supported income: 62000 on 2025-05-15.
request_84,21423.28,affordable_later,wait,2026-06-15:95400,2026-06-15,none,INR 153945 available; protect 91300 minimum. Pay INR 95400 via wait; finish 2026-06-15. Forecast low 104263.94 through 2026-07-03. Evidence: message_64. Next supported income: 107995.68 on 2026-04-15.
request_85,392399.89,not_affordable,not_recommended,none,,none,IDR 8818420 available; protect 6396300 minimum. Safe today: 392399.89. No accepted plan completes the request by 2024-04-26 while preserving the minimum for 90 days. Evidence: message_65. Next supported income: 8618400 on 2024-03-15.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,INR 228639.50 available; protect 84900 minimum. Pay INR 46300 via full payment; finish 2025-08-03. Forecast low 88514.78 through 2025-11-01. Next supported income: 124000 on 2025-08-23.
request_87,26211.37,not_affordable,not_recommended,none,,none,INR 278750 available; protect 185900 minimum. Safe today: 26211.37. No accepted plan completes the request by 2026-03-15 while preserving the minimum for 90 days. Evidence: message_66. Next supported income: 251000 on 2026-01-15.
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,ZAR 41357.89 available; protect 25800 minimum. Pay ZAR 27135.69 via installments; finish 2024-08-15. Forecast low 27490.54 through 2024-09-05. Next supported income: 34760 on 2024-06-15.
request_89,9392480.17,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8337:266760|stop:event_8335,"IDR 27331862.01 available; protect 12534700 minimum. Pay IDR 14306240.01 via installments; finish 2026-01-13. Forecast low 12938594.43 through 2026-02-02. Apply reduce_to:event_8337:266760, stop:event_8335. Next supported income: 15200000 on 2025-11-15."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,ZAR 31629.50 available; protect 7600 minimum. Pay ZAR 2560 via full payment; finish 2026-07-06. Forecast low 19186.22 through 2026-10-04. Evidence: message_68. Next supported income: 13420 on 2026-07-15.
request_91,410.52,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,EUR 4209.60 available; protect 2100 minimum. Pay EUR 1927.20 via wait; finish 2024-11-15. Forecast low 2510.52 through 2024-12-02. Evidence: message_69. Next supported income: 2387 on 2024-09-15.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,ZAR 78664.47 available; protect 28100 minimum. Pay ZAR 34034 via full payment; finish 2025-02-05. Forecast low 29782.63 through 2025-05-06. Evidence: message_70. Next supported income: 29568 on 2025-02-15.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,USD 3962.10 available; protect 1900 minimum. Pay USD 1729.20 via full payment; finish 2026-04-07. Forecast low 2002.58 through 2026-07-06. Next supported income: 2412 on 2026-04-15.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,EUR 2663.60 available; protect 600 minimum. Pay EUR 572 via full payment; finish 2024-12-04. Forecast low 1130.93 through 2025-03-04. Evidence: message_72. Next supported income: 924 on 2024-12-15.
request_95,4648.02,not_affordable,not_recommended,none,,none,INR 283365 available; protect 145500 minimum. Safe today: 4648.02. No accepted plan completes the request by 2025-07-14 while preserving the minimum for 90 days. Evidence: message_73. Next supported income: 251000 on 2025-05-23.
request_96,72758.96,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8980:1610,INR 161635.49 available; protect 56500 minimum. Pay INR 93807.99 via installments; finish 2026-03-11. Forecast low 62577.59 through 2026-04-03. Apply reduce_to:event_8980:1610. Next supported income: 80000 on 2026-01-15.
request_97,1599.8,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,ZAR 38565.89 available; protect 29700 minimum. Pay ZAR 24435.84 via installments; finish 2024-05-20. Forecast low 31299.80 through 2024-06-03. Next supported income: 35420 on 2024-03-15.
request_98,7883.74,affordable_later,wait,2025-09-15:27148,2025-09-15,none,ZAR 47244.70 available; protect 30000 minimum. Pay ZAR 27148 via wait; finish 2025-09-15. Forecast low 32068.82 through 2025-11-05. Evidence: message_74. Next supported income: 36080 on 2025-08-15.
request_99,17445.43,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,ZAR 86706.58 available; protect 49100 minimum. Pay ZAR 18062 via full payment; finish 2026-07-04. Forecast low 49529.52 through 2026-10-02. Apply reduce_to:event_9232:1065.90. Next supported income: 56980 on 2026-07-15.
request_100,26775.6,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,ZAR 68363.53 available; protect 32500 minimum. Pay ZAR 38598.57 via installments; finish 2024-08-14. Forecast low 39566.66 through 2024-09-04. Next supported income: 42680 on 2024-06-15.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,INR 465868.50 available; protect 187400 minimum. Pay INR 143500 via full payment; finish 2025-11-03. Forecast low 194361.66 through 2026-02-01. Evidence: message_75. Next supported income: 254000 on 2025-11-15.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,EUR 4643.74 available; protect 900 minimum. Pay EUR 1784.64 via installments; finish 2026-06-04. Forecast low 2050.40 through 2026-07-04. Evidence: message_76. Next supported income: 1419 on 2026-04-15.
request_103,2146.57,not_affordable,not_recommended,none,,none,INR 168749 available; protect 125500 minimum. Safe today: 2146.57. No accepted plan completes the request by 2024-10-07 while preserving the minimum for 90 days. Evidence: message_77. Next supported income: 164880 on 2024-09-15.
request_104,7188.3,not_affordable,not_recommended,none,,none,ZAR 64021.70 available; protect 24700 minimum. Safe today: 7188.3. No accepted plan completes the request by 2025-04-15 while preserving the minimum for 90 days. Evidence: message_78. Next supported income: 21516 on 2025-02-15.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,INR 147831.80 available; protect 73900 minimum. Pay INR 53500 via full payment; finish 2026-06-08. Forecast low 75953.06 through 2026-09-06. Evidence: message_79. Next supported income: 117000 on 2026-06-15.
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,EUR 2601.70 available; protect 1200 minimum. Pay EUR 2207.70 via wait; finish 2025-02-15. Forecast low 1663.22 through 2025-03-03. Evidence: message_80. Next supported income: 1815 on 2024-12-15.
request_107,2416.94,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,EUR 5054.52 available; protect 1600 minimum. Pay EUR 2635.77 via installments; finish 2025-07-03. Forecast low 1609.76 through 2025-08-03. Apply reduce_to:event_9959:42.50. Evidence: message_81. Next supported income: 2123 on 2025-05-15.
request_108,1717.39,not_affordable,not_recommended,none,,none,ZAR 31936.40 available; protect 24100 minimum. Safe today: 1717.39. No accepted plan completes the request by 2026-07-26 while preserving the minimum for 90 days. Evidence: message_82. Next supported income: 20064 on 2026-07-15.
request_109,619.32,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,EUR 2976.46 available; protect 1700 minimum. Pay EUR 1937.94 via installments; finish 2024-05-19. Forecast low 2319.32 through 2024-06-02. Next supported income: 2395.68 on 2024-03-15.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,ZAR 61229.53 available; protect 11200 minimum. Pay ZAR 23246.07 via installments; finish 2025-10-01. Forecast low 24667.16 through 2025-11-04. Evidence: message_83. Next supported income: 16720 on 2025-08-15.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,IDR 85204860 available; protect 23022800 minimum. Pay IDR 16625000 via full payment; finish 2026-04-03. Forecast low 23719944.48 through 2026-07-02. Evidence: message_84.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,EUR 1026 available; protect 500 minimum. Pay EUR 271.70 via full payment; finish 2024-06-05. Forecast low 515.56 through 2024-09-03. Evidence: message_85. Next supported income: 627 on 2024-06-15.
request_113,28455.73,affordable_later,wait,2026-09-15:36500,2026-09-15,none,INR 141890 available; protect 82300 minimum. Pay INR 36500 via wait; finish 2026-09-15. Forecast low 105486.44 through 2026-12-03. Evidence: message_86. Next supported income: 107995.68 on 2026-09-15.
request_114,63280.58,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10559,INR 219230 available; protect 113400 minimum. Pay INR 65300 via full payment; finish 2026-01-04. Forecast low 114280.58 through 2026-04-04. Apply stop:event_10559. Evidence: message_87. Next supported income: 148200 on 2026-01-15.
request_115,14648.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,INR 65935 available; protect 38800 minimum. Pay INR 80500 via wait; finish 2024-11-15. Forecast low 53448.43 through 2024-12-05. Evidence: message_88. Next supported income: 59000 on 2024-09-15.
request_116,9179.84,not_affordable,not_recommended,none,,none,INR 138375 available; protect 80300 minimum. Safe today: 9179.84. No accepted plan completes the request by 2025-04-16 while preserving the minimum for 90 days. Next supported income: 124000 on 2025-02-15.
request_117,859.1,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,EUR 2164.20 available; protect 1000 minimum. Pay EUR 880 via full payment; finish 2026-07-05. Forecast low 1001.10 through 2026-10-03. Apply stop:event_10833. Evidence: message_89. Next supported income: 1188 on 2026-07-15.
request_118,649.88,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,EUR 1538.51 available; protect 600 minimum. Pay EUR 767.61 via installments; finish 2025-02-07. Forecast low 663.97 through 2025-03-07. Evidence: message_90. Next supported income: 759 on 2024-12-15.
request_119,59410.4,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,INR 282101.01 available; protect 151200 minimum. Pay INR 211640.01 via installments; finish 2025-07-13. Forecast low 153594.43 through 2025-08-02. Apply reduce_to:event_11057:2370. Evidence: message_91. Next supported income: 176000 on 2025-05-15.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,IDR 31748980 available; protect 20050300 minimum. Pay IDR 7714000 via full payment; finish 2026-04-06. Forecast low 20853488.04 through 2026-07-05. Evidence: message_92. Next supported income: 23750000 on 2026-04-15.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,USD 1741 available; protect 800 minimum. Pay USD 633.60 via full payment; finish 2024-03-03. Forecast low 852.57 through 2024-06-01. Next supported income: 1056 on 2024-03-15.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,IDR 56827244.99 available; protect 12588500 minimum. Pay IDR 21380319.99 via installments; finish 2025-09-30. Forecast low 24068908 through 2025-11-03. Evidence: message_93. Next supported income: 15390000 on 2025-08-15.
request_123,2382286.8,not_affordable,not_recommended,none,,none,IDR 63706400 available; protect 18091200 minimum. Safe today: 2382286.8. No accepted plan completes the request by 2026-03-28 while preserving the minimum for 90 days. Evidence: message_94.
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,reduce_to:event_11480:38,EUR 3709.56 available; protect 1600 minimum. Pay EUR 3228.36 via installments; finish 2024-08-12. Forecast low 1620.18 through 2024-09-02. Apply reduce_to:event_11480:38. Next supported income: 2629 on 2024-06-15.
request_125,5834.63,not_affordable,not_recommended,none,2025-11-15,none,ZAR 22027.97 available; protect 11300 minimum. Safe today: 5834.63. No accepted plan completes the request by 2025-11-14 while preserving the minimum for 90 days. Financial capacity for full payment exists on 2025-11-15. Evidence: message_95. Next supported income: 14960 on 2025-11-15.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,INR 403175 available; protect 129700 minimum. Pay INR 159600 via full payment; finish 2026-07-03. Forecast low 151491.92 through 2026-10-01. Evidence: message_96. Next supported income: 152000 on 2026-07-15.
